,Text,Date,Retweets,Favorites,Mentions,HashTags
86,"Is anyone else alarmed that a body set up in May the Joint Biosecurity Centre based on the Joint Terrorism Analysis Centre now runs UK Govt #COVID19 policy, quarantine, lockdown all. Apart from a Dr Clare Gardiner membership is secret and unaccountable @carlheneghan @deb_cohen",2020-08-09 21:26:46+00:00,201,271,@carlheneghan @deb_cohen,#COVID19
87,First weekend out of lockdown and front page pic @SalfordDevils,2020-08-09 21:26:12+00:00,8,98,@SalfordDevils,
88,"Libertarians are entitled to comment, but pro-lockdown, pro ‘New Abnormal’ western ‘liberals’& neocons denouncing Belarus’s re-elected leader Lukashenko- who never imposed a Coronavirus lockdown or other illiberal CV restrictions, really do redefine the word hypocrisy. #Belarus",2020-08-09 21:26:05+00:00,44,126,,#Belarus
89,Bored during lockdown? Call a feminist group and ask to speak to the man in charge.,2020-08-09 21:24:09+00:00,104,221,,
90,"Denmark Says 'No Benefit' To Masks, Lockdowns Don't Work, COVID Tracking & Israeli/US Foreign Policy https://youtu.be/EbLV3DKvBOg #COVID19 #USForeignPolicy #Israel #Gaza #Yemen #BeirutExplosion #Masks #Lockdown #Vaccines #Bailouts #Technocracy #TheDailyWrapUp",2020-08-09 21:19:52+00:00,55,100,,#COVID19 #USForeignPolicy #Israel #Gaza #Yemen #BeirutExplosion #Masks #Lockdown #Vaccines #Bailouts #Technocracy #TheDailyWrapUp
91,Am I the only one that misses being on lockdown? Like Phase 1 Lockdown,2020-08-09 21:18:26+00:00,10,43,,
92,Most productive thing I did in this lockdown was download twitter lmao,2020-08-09 21:18:11+00:00,24,221,,
93,"If the US were to go into a uniform national lockdown, we could get COVID-19 under control in a matter of weeks, or a couple months tops. We’re just too stupid to do it.",2020-08-09 21:17:09+00:00,44,286,,
94,Erica alone has already invaded words to this lockdown season.... Mental vs physical attraction Special friend vs friend What re we expecting next from this damsel ??? #BBNaija pic.twitter.com/kt9ZQAkkJU,2020-08-09 21:16:13+00:00,13,85,,#BBNaija
95,I just realised I have interviewed 153 people on @3RRRFM so far this year - 130 done remotely while in lockdown. The #radiothon2020 is on in 2 weeks. This coming Sunday I have @AstroTerry and Dame Jocelyn Bell Burnell. It's our 30th Anniversary. So much science!,2020-08-09 21:13:31+00:00,4,42,@3RRRFM @AstroTerry,#radiothon2020
96,Minnis @5pm: “The lockdown will be extended” Jasper @4:59pm: PM:”The lockdown will be extended”,2020-08-09 21:09:40+00:00,154,469,,
97,I just over the slappin up.... just tell us if the lockdown extended or not dawggg ,2020-08-09 21:06:43+00:00,13,22,,
98,Is your state going back into lockdown mode? Comment which state,2020-08-09 20:59:40+00:00,111,968,,
99,"Lockdown was supposed to be a stopgap so we could figure out testing, tracing and isolation. It’s now month six.",2020-08-09 20:59:05+00:00,11923,35604,,
100,"The Tamil diaspora sent in millions in charity and aid when the North and East faced starvation during the COVID 19 lockdown, after the State weaponized the pandemic for political repression but provided no material assistance. ",2020-08-09 20:58:42+00:00,10,17,,
101,"So much good content (books & articles) produced during the lockdown. Have over 30 bookmarked articles on history, tech, development, culture or economics that I bookmarked. Add some 15 new books that I just discovered to that. What is left is time to read them.",2020-08-09 20:56:52+00:00,12,53,,
102,"So there is a lot of discussion about NZ and 100 days without a community spread Covid19 case on the timeline today. I would put it down to one thing, almost the entire country bought into the measures to control the spread. The lockdown polled at 91% support.",2020-08-09 20:53:12+00:00,11,45,,
103,What’s the first song you can’t wait to hear us play live when lockdown is over? ,2020-08-09 20:49:32+00:00,18,373,,
104,You can watch my latest lockdown session here. It was fun. It was hot. ,2020-08-09 20:49:09+00:00,8,62,,
105,"Hey friendly reminder that COVID numbers are going up again, but the gov’t doesn’t care enough to go back into lockdown because they don’t care about you as much as they care about the economy. Love yourself and others more than the gov’t does and wear the goddamn mask. PLEASE.",2020-08-09 20:48:23+00:00,42,116,,
106,"England can’t ease lockdown any more, experts including ⁦@JeremyFarrar⁩ + ⁦@IndependentSage⁩ warn as Covid testing calls grow",2020-08-09 20:47:09+00:00,74,111,@JeremyFarrar @IndependentSage,
107,"i tried to offer my friends on Discord a whiskey tonight. this isnt because of covid lockdown, ive always been very stupid",2020-08-09 20:43:42+00:00,2,102,,
108,"Up next. My choice from the outset to close my next project with the lady that has entertained, worked hard and supported others (including me) through dark moments during lockdown. She's our Queen of Hearts. Sunday headliner is @VeeBear - up next on http://greatmusicstories.com radio",2020-08-09 20:38:34+00:00,11,32,@VeeBear,
109,Strange as they didn’t pull up a car registered in London on the motorway to Durham in the middle of #lockdown #NotMovinOn #notmovingontilldomhasgone #SackCummings #CumGate #BorisHasFailedTheNation #BorisHasFailedBritain #BorisTheButcher #RussiaReport #COVID19 #postalvotes,2020-08-09 20:38:24+00:00,35,63,,#lockdown #NotMovinOn #notmovingontilldomhasgone #SackCummings #CumGate #BorisHasFailedTheNation #BorisHasFailedBritain #BorisTheButcher #RussiaReport #COVID19 #postalvotes
110,This is a self-filmed video and excerpt from “Burn” a finalist play in isolation during Lockdown. The winner of the 2020 Playwright’s Prize will be announced on Saturday August 15th at 6pm: ,2020-08-09 20:38:04+00:00,4,31,,
111,o lockdown em pelotas ,2020-08-09 20:36:11+00:00,1,39,,
112,"This could well be the anthem of the weekend. Chuffed looking back we played it first. For this weekend, a weekend about wellbeing, healing after the dark days of lockdown, this song speaks again. #Nowplaying @ScarletRebels #Heal",2020-08-09 20:36:06+00:00,7,24,@ScarletRebels,#Nowplaying #Heal
113,"Special stuff today. Nearly five months after going into lockdown, @gsyrugbyacademy got back on the pitch in the Isle of Man. To say they’d spent several hours sat on the plane going over, these guys put in some shift. Watch out for a full report on Monday’s @ITVChannelTV ",2020-08-09 20:33:49+00:00,14,57,@gsyrugbyacademy @ITVChannelTV,
114,"If you really enjoyed #EarpFest Lockdown Edition come joins us in Glasgow July 2,3,4 2021! We have sold out of HH (VIP) but will be putting the last remaining Lab Tech tickets on sale, still availability on the other tiers. Tickets will be available at the end of the month ",2020-08-09 20:32:39+00:00,24,219,,#EarpFest
