Date,Price,Open,High,Low,Volume,Chg%
09-Jun-20,10046.65,10181.15,10291.15,10021.45,754.22K,-1.19%
10-Jun-20,10116.15,10072.6,10148.75,10036.85,632.38K,0.69%
11-Jun-20,9902,10094.1,10112.05,9885.05,715.45K,-2.12%
12-Jun-20,9972.9,9544.95,9996.05,9544.35,796.31K,0.72%
15-Jun-20,9813.7,9919.35,9943.35,9726.35,716.05K,-1.60%
16-Jun-20,9914,10014.8,10046.15,9728.5,899.90K,1.02%
17-Jun-20,9881.15,9876.7,10003.6,9833.8,685.42K,-0.33%
18-Jun-20,10091.65,9863.25,10111.2,9845.05,622.90K,2.13%
19-Jun-20,10244.4,10119,10272.4,10072.65,892.10K,1.51%
22-Jun-20,10311.2,10318.75,10393.65,10277.6,685.39K,0.65%
23-Jun-20,10471,10347.95,10484.7,10301.75,669.20K,1.55%
24-Jun-20,10305.3,10529.25,10553.15,10281.95,854.80K,-1.58%
25-Jun-20,10288.9,10235.55,10361.8,10194.5,994.19K,-0.16%
26-Jun-20,10383,10378.9,10409.85,10311.25,671.91K,0.91%
29-Jun-20,10312.4,10311.95,10337.95,10223.6,574.54K,-0.68%
30-Jun-20,10302.1,10382.6,10401.05,10267.35,556.24K,-0.10%
01-Jul-20,10430.05,10323.8,10447.05,10299.6,573.55K,1.24%
02-Jul-20,10551.7,10493.05,10598.2,10485.55,597.42K,1.17%
03-Jul-20,10607.35,10614.95,10631.3,10562.65,525.19K,0.53%
06-Jul-20,10763.65,10723.85,10811.4,10695.1,571.21K,1.47%
07-Jul-20,10799.65,10802.85,10813.8,10689.7,636.77K,0.33%
08-Jul-20,10705.75,10818.65,10847.85,10676.55,767.94K,-0.87%
09-Jul-20,10813.45,10755.55,10836.85,10733,618.65K,1.01%
10-Jul-20,10768.05,10764.1,10819.4,10713,590.71K,-0.42%
13-Jul-20,10802.7,10851.85,10894.05,10756.05,554.05K,0.32%
14-Jul-20,10607.35,10750.85,10755.65,10562.9,532.37K,-1.81%
15-Jul-20,10618.2,10701,10827.45,10577.75,715.90K,0.10%
16-Jul-20,10739.95,10706.2,10755.3,10595.2,694.40K,1.15%
17-Jul-20,10901.7,10752,10933.45,10749.65,676.88K,1.51%
20-Jul-20,11022.2,10999.45,11037.9,10953,554.31K,1.11%
21-Jul-20,11162.25,11126.1,11179.55,11113.25,772.00K,1.27%
22-Jul-20,11132.6,11231.2,11238.1,11056.55,765.07K,-0.27%
23-Jul-20,11215.45,11135,11239.8,11103.15,621.58K,0.74%
24-Jul-20,11194.15,11149.95,11225.4,11090.3,678.94K,-0.19%
27-Jul-20,11131.8,11225,11225,11087.85,588.15K,-0.56%
28-Jul-20,11300.55,11154.1,11317.75,11151.4,683.89K,1.52%
29-Jul-20,11202.85,11276.9,11341.4,11149.75,600.73K,-0.86%
30-Jul-20,11102.15,11254.3,11299.95,11084.95,677.76K,-0.90%
31-Jul-20,11073.45,11139.5,11150.4,11026.65,642.56K,-0.26%
03-Aug-20,10891.6,11057.55,11058.05,10882.25,680.93K,-1.64%
04-Aug-20,11095.25,10946.65,11112.25,10908.1,625.74K,1.87%
05-Aug-20,11101.65,11155.75,11225.65,11064.05,667.64K,0.06%
06-Aug-20,11200.15,11185.7,11256.8,11127.3,600.38K,0.89%
07-Aug-20,11214.05,11186.65,11231.9,11142.05,452.63K,0.12%
10-Aug-20,11270.15,11270.25,11337.3,11238,492.00K,0.50%
11-Aug-20,11322.5,11322.25,11373.6,11299.15,586.09K,0.46%
12-Aug-20,11308.4,11289,11322,11242.65,609.86K,-0.12%
13-Aug-20,11300.45,11334.85,11359.3,11269.95,562.36K,-0.07%
14-Aug-20,11178.4,11353.3,11366.25,11111.45,645.11K,-1.08%
17-Aug-20,11247.1,11248.9,11267.1,11144.5,633.96K,0.61%
18-Aug-20,11385.35,11259.8,11401.7,11253.15,579.24K,1.23%
19-Aug-20,11408.4,11452.15,11460.35,11394.1,626.22K,0.20%
20-Aug-20,11312.2,11317.45,11361.45,11289.8,791.59K,-0.84%
21-Aug-20,11371.6,11409.65,11418.5,11362.2,668.72K,0.53%
24-Aug-20,11466.45,11412,11497.25,11410.65,532.90K,0.83%
25-Aug-20,11472.25,11513.1,11525.9,11423.35,638.15K,0.05%
26-Aug-20,11549.6,11512.85,11561.75,11461.85,743.44K,0.67%
27-Aug-20,11559.25,11609.3,11617.35,11540.6,719.78K,0.08%
28-Aug-20,11647.6,11602.95,11686.05,11589.4,807.00K,0.76%
31-Aug-20,11387.5,11777.55,11794.25,11325.85,1.37M,-2.23%
01-Sep-20,11470.25,11464.3,11553.55,11366.9,783.77K,0.73%
02-Sep-20,11535,11478.55,11554.75,11430.4,593.49K,0.56%
03-Sep-20,11527.45,11566.2,11584.95,11507.65,607.12K,-0.07%
04-Sep-20,11333.85,11354.4,11452.05,11303.65,681.34K,-1.68%
07-Sep-20,11355.05,11359.6,11381.15,11251.7,560.32K,0.19%
08-Sep-20,11317.35,11378.55,11437.25,11290.45,572.24K,-0.33%
09-Sep-20,11278,11218.6,11298.15,11185.15,728.88K,-0.35%
10-Sep-20,11449.25,11363.3,11464.05,11327.4,679.42K,1.52%
11-Sep-20,11464.45,11447.8,11493.5,11419.9,554.79K,0.13%
14-Sep-20,11440.05,11540.15,11568.9,11383.55,642.27K,-0.21%
15-Sep-20,11521.8,11487.2,11535.95,11442.25,506.67K,0.71%
16-Sep-20,11604.55,11538.45,11618.1,11516.75,527.81K,0.72%
17-Sep-20,11516.1,11539.4,11587.2,11498.5,517.73K,-0.76%
18-Sep-20,11504.95,11584.1,11584.1,11446.1,764.15K,-0.10%
21-Sep-20,11250.55,11503.8,11535.25,11218.5,602.85K,-2.21%
22-Sep-20,11153.65,11301.75,11302.2,11084.65,672.25K,-0.86%
23-Sep-20,11131.85,11258.75,11259.55,11024.4,714.93K,-0.20%
24-Sep-20,10805.55,11011,11015.3,10790.2,706.14K,-2.93%
25-Sep-20,11050.25,10910.4,11072.6,10854.85,559.60K,2.26%
28-Sep-20,11227.55,11140.85,11239.35,11099.85,472.78K,1.60%
29-Sep-20,11222.4,11288.6,11305.4,11181,498.30K,-0.05%
30-Sep-20,11226.5,11246.6,11294.3,11185.1,499.22K,0.04%
