Date,Price,Open,High,Low,Volume,Chg%
27-Mar-17,9045.2,9093.45,9094.85,9024.65,209.04M,-0.69%
28-Mar-17,9100.8,9081.5,9110.4,9079.8,188.99M,0.61%
29-Mar-17,9143.8,9128.7,9153.15,9109.1,250.90M,0.47%
30-Mar-17,9173.75,9142.6,9183.15,9136.35,333.41M,0.33%
31-Mar-17,9173.75,9158.9,9191.7,9152.1,196.77M,0.00%
03-Apr-17,9237.85,9220.6,9245.35,9192.4,143.44M,0.70%
05-Apr-17,9265.15,9264.4,9273.9,9215.4,190.53M,0.30%
06-Apr-17,9261.95,9245.8,9267.95,9218.85,191.94M,-0.03%
07-Apr-17,9198.3,9223.7,9250.5,9188.1,195.92M,-0.69%
10-Apr-17,9181.45,9225.6,9225.65,9174.85,139.97M,-0.18%
11-Apr-17,9237,9184.55,9242.7,9172.85,206.26M,0.61%
12-Apr-17,9203.45,9242.5,9246.4,9161.8,166.76M,-0.36%
13-Apr-17,9150.8,9202.5,9202.65,9144.95,171.70M,-0.57%
17-Apr-17,9139.3,9144.75,9160,9120.25,132.24M,-0.13%
18-Apr-17,9105.15,9163,9217.9,9095.45,179.57M,-0.37%
19-Apr-17,9103.5,9112.2,9120.5,9075.15,179.12M,-0.02%
20-Apr-17,9136.4,9108.1,9143.9,9102.65,175.63M,0.36%
21-Apr-17,9119.4,9179.1,9183.65,9088.75,159.98M,-0.19%
24-Apr-17,9217.95,9135.35,9225.4,9130.55,172.91M,1.08%
25-Apr-17,9306.6,9273.05,9309.2,9250.35,173.90M,0.96%
26-Apr-17,9351.85,9336.2,9367,9301.35,191.40M,0.49%
27-Apr-17,9342.15,9359.15,9367.15,9322.65,215.88M,-0.10%
28-Apr-17,9304.05,9340.95,9342.65,9282.25,167.23M,-0.41%
02-May-17,9313.8,9339.85,9352.55,9269.9,166.56M,0.10%
03-May-17,9311.95,9344.7,9346.3,9298.4,156.34M,-0.02%
04-May-17,9359.9,9360.95,9365.65,9323.25,277.90M,0.51%
05-May-17,9285.3,9374.55,9377.1,9272,239.13M,-0.80%
08-May-17,9314.05,9311.45,9338.7,9297.95,179.71M,0.31%
09-May-17,9316.85,9337.35,9338.95,9307.7,136.42M,0.03%
10-May-17,9407.3,9339.65,9414.75,9336,157.36M,0.97%
11-May-17,9422.4,9448.6,9450.65,9411.3,176.44M,0.16%
12-May-17,9400.9,9436.65,9437.75,9372.55,159.08M,-0.23%
15-May-17,9445.4,9433.55,9449.25,9423.1,145.16M,0.47%
16-May-17,9512.25,9461,9517.2,9456.35,171.71M,0.71%
17-May-17,9525.75,9517.6,9532.6,9486.1,211.86M,0.14%
18-May-17,9429.45,9453.2,9489.1,9418.1,199.34M,-1.01%
19-May-17,9427.9,9469.9,9505.75,9390.75,259.86M,-0.02%
22-May-17,9438.25,9480.25,9498.65,9427.9,202.88M,0.11%
23-May-17,9386.15,9445.05,9448.05,9370,231.35M,-0.55%
24-May-17,9360.55,9410.9,9431.9,9341.65,218.26M,-0.27%
25-May-17,9509.75,9384.05,9523.3,9379.2,298.15M,1.59%
26-May-17,9595.1,9507.75,9604.9,9495.4,225.65M,0.90%
29-May-17,9604.9,9560.05,9637.75,9547.7,242.27M,0.10%
30-May-17,9624.55,9590.65,9635.3,9581.2,199.89M,0.20%
31-May-17,9621.25,9636.55,9649.6,9609.25,427.05M,-0.03%
01-Jun-17,9616.1,9603.55,9634.65,9589.9,181.53M,-0.05%
02-Jun-17,9653.5,9657.15,9673.5,9637.45,167.20M,0.39%
05-Jun-17,9675.1,9656.3,9687.2,9640.7,131.69M,0.22%
06-Jun-17,9637.15,9704.25,9709.3,9630.2,150.38M,-0.39%
07-Jun-17,9663.9,9663.95,9678.55,9630.55,165.67M,0.28%
08-Jun-17,9647.25,9682.4,9688.7,9641.5,160.16M,-0.17%
09-Jun-17,9668.25,9638.55,9676.25,9608.15,163.90M,0.22%
12-Jun-17,9616.4,9646.7,9647.05,9598.5,145.79M,-0.54%
13-Jun-17,9606.9,9615.55,9654.15,9595.4,133.73M,-0.10%
14-Jun-17,9618.15,9621.55,9627.4,9580.45,187.38M,0.12%
15-Jun-17,9578.05,9617.9,9621.4,9560.8,176.42M,-0.42%
16-Jun-17,9588.05,9595.45,9615.85,9565.5,219.81M,0.10%
19-Jun-17,9657.55,9626.4,9673.3,9614.9,146.15M,0.72%
20-Jun-17,9653.5,9670.5,9676.5,9643.75,164.44M,-0.04%
21-Jun-17,9633.6,9648.1,9650.45,9608.6,148.49M,-0.21%
22-Jun-17,9630,9642.65,9698.85,9617.75,204.89M,-0.04%
23-Jun-17,9574.95,9643.25,9647.65,9565.3,180.58M,-0.57%
27-Jun-17,9511.4,9594.05,9615.4,9473.45,209.59M,-0.66%
28-Jun-17,9491.25,9520.2,9522.5,9474.35,177.65M,-0.21%
29-Jun-17,9504.1,9522.95,9575.8,9493.8,267.28M,0.14%
30-Jun-17,9520.9,9478.5,9535.8,9448.75,185.20M,0.18%
03-Jul-17,9615,9587.95,9624,9543.55,188.69M,0.99%
04-Jul-17,9613.3,9645.9,9650.65,9595.5,149.31M,-0.02%
05-Jul-17,9637.6,9619.75,9643.65,9607.35,134.85M,0.25%
06-Jul-17,9674.55,9653.6,9700.7,9639.95,152.00M,0.38%
07-Jul-17,9665.8,9670.35,9684.25,9642.65,146.23M,-0.09%
10-Jul-17,9771.05,9719.3,9782.15,9646.45,38.75M,1.09%
11-Jul-17,9786.05,9797.45,9830.05,9778.85,185.32M,0.15%
12-Jul-17,9816.1,9807.3,9824.95,9787.7,150.05M,0.31%
13-Jul-17,9891.7,9855.8,9897.25,9853.45,186.87M,0.77%
14-Jul-17,9886.35,9913.3,9913.3,9845.45,164.46M,-0.05%
17-Jul-17,9915.95,9908.15,9928.2,9894.7,168.60M,0.30%
18-Jul-17,9827.15,9832.7,9885.35,9792.05,303.01M,-0.90%
19-Jul-17,9899.6,9855.95,9905.05,9851.65,206.38M,0.74%
20-Jul-17,9873.3,9920.2,9922.55,9863.45,166.08M,-0.27%
21-Jul-17,9915.25,9899.6,9924.7,9838,193.29M,0.42%
24-Jul-17,9966.4,9936.8,9982.05,9919.6,179.91M,0.52%
25-Jul-17,9964.55,10010.55,10011.3,9949.1,191.21M,-0.02%
26-Jul-17,10020.65,9983.65,10025.95,9965.95,203.70M,0.56%
27-Jul-17,10020.55,10063.25,10114.85,10005.5,296.78M,0.00%
28-Jul-17,10014.5,9996.55,10026.05,9944.5,197.49M,-0.06%
31-Jul-17,10077.1,10034.7,10085.9,10016.95,245.10M,0.63%
